GeneID	C-1	C-2	C-3	H-1	H-2	H-3	L-1	L-2	L-3
LOC128015612	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128015571	5.499	5.603	5.453	2.744	3.627	3.455	4.848	4.942	4.808
LOC128015618	0.012	0.013	0.064	0.023	0.068	0.019	0.000	0.064	0.115
LOC128015613	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128015580	1.284	1.216	1.240	0.409	0.407	0.342	1.259	1.366	0.617
LOC128015633	0.000	0.000	0.000	0.024	0.000	0.010	0.010	0.056	0.000
LOC128015649	1.666	1.629	1.565	0.440	0.573	0.542	0.170	0.205	0.198
LOC128015664	3.649	3.900	3.612	3.144	4.804	4.535	3.775	4.222	2.763
LOC128015659	0.050	0.086	0.052	2.550	2.658	3.005	0.188	0.115	0.266
LOC127944216	0.347	0.302	0.308	0.148	0.210	0.274	0.000	0.000	0.000
LOC128015693	1.097	0.934	0.962	0.503	0.395	0.557	0.075	0.081	0.072
LOC128015703	0.068	0.076	0.064	0.165	0.218	0.316	0.010	0.011	0.000
LOC128015736	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.217
LOC128015723	0.286	0.250	0.233	0.206	0.217	0.242	0.128	0.146	0.030
